Id,WeekId
e8cf72ed-c469-49a0-985e-02a746d0a85e,28712772-8857-4cda-b5c6-97243ceb8b8d
a5b6d7f9-fb57-4fbe-ae22-1f39ca6bd920,28712772-8857-4cda-b5c6-97243ceb8b8d
26abf4da-abbb-4396-8538-e174d9736760,28712772-8857-4cda-b5c6-97243ceb8b8d
d1f315fd-272e-4dd9-80f1-0ea196fabea4,28712772-8857-4cda-b5c6-97243ceb8b8d
4f05d928-549c-45cb-98c6-6d3d746cdd73,28712772-8857-4cda-b5c6-97243ceb8b8d
8a9fe2d1-9ffe-471a-851d-f9d05fcc4b40,28712772-8857-4cda-b5c6-97243ceb8b8d
97e8e95d-cba9-4b8d-b7d9-fe424a2f3220,28712772-8857-4cda-b5c6-97243ceb8b8d
7dde1aad-b71e-4d62-9e89-6da4a9bc2b57,28712772-8857-4cda-b5c6-97243ceb8b8d
739e06dd-8ae3-4e51-a2eb-9467cde3d527,28712772-8857-4cda-b5c6-97243ceb8b8d
7189616a-2fdf-4d65-b6b8-68066a2758c3,28712772-8857-4cda-b5c6-97243ceb8b8d
dce876c8-5d3f-4cdd-813d-a9165c29720c,28712772-8857-4cda-b5c6-97243ceb8b8d
dd7c1c13-d4e5-4bb4-b24d-18f511ac1288,28712772-8857-4cda-b5c6-97243ceb8b8d
6ee5619f-8fc6-4581-8e3d-2100e5cf595b,28712772-8857-4cda-b5c6-97243ceb8b8d
fd45d456-894d-4c47-8f6e-c965c7f7365c,28712772-8857-4cda-b5c6-97243ceb8b8d
b25fef72-1f6a-4b3b-90c8-648edc19d9cb,28712772-8857-4cda-b5c6-97243ceb8b8d
5e165d04-882b-4657-a734-4f1500dee6a9,28712772-8857-4cda-b5c6-97243ceb8b8d
3b6681af-0598-4f7b-9d76-7cde0f35c5d0,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
d8edb9a8-7055-44fc-b28b-ee1c9492cf86,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
e5fce4bd-c720-4c17-96f1-f40f714e834f,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
fa207a3e-6aaa-429c-9a90-fd3df331fe12,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
4e8eb30f-ee00-4689-9199-9e9c85cb6b63,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
54c165e7-db5e-4b7a-abfd-e42d1629c733,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
871c011a-65ad-477a-897b-1f1e19bdc5ea,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
de8f4568-d7d0-47a1-8a37-066cc4ffe001,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
b7bd1a72-6c85-4f97-8633-c95d6302c34e,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
680378c6-a0a6-410e-97be-058ca7237996,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
43e961f5-fb15-4b66-b5bd-937c036da478,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
947e3041-3df3-4b6e-96cd-01f0b6f24e2c,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
6007b961-23da-4922-ade3-bde35f4adbec,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
dc94793c-a294-4747-82a0-7cb01ca35de3,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
cc75888c-17e6-4145-9064-1a785eab4311,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
835f7071-3faa-4bb1-a28b-abda8838707c,15889a6d-02e1-430d-8ec7-6fd230f7ac6d
7484c1a7-8ee4-47f7-a7a9-6b1d53e5cb93,28e66e25-251d-4abf-ae49-d4578c165447
2391e9ec-de15-45a7-956c-f360e742b58c,28e66e25-251d-4abf-ae49-d4578c165447
798a4abd-314c-4d5b-9b6e-d55fc42fe4fc,28e66e25-251d-4abf-ae49-d4578c165447
f849f171-66df-4055-8acb-4d9dafcc5585,28e66e25-251d-4abf-ae49-d4578c165447
e65837f3-f5c9-45a8-b505-e2b0782777f8,28e66e25-251d-4abf-ae49-d4578c165447
e3dc9ac4-729c-40a0-8a2d-d6ac3df945c1,28e66e25-251d-4abf-ae49-d4578c165447
d8718810-5ce8-4d88-b718-3108d5ddd6da,28e66e25-251d-4abf-ae49-d4578c165447
e13cb92c-fd83-4765-baf1-58a140445fbf,28e66e25-251d-4abf-ae49-d4578c165447
cd3400ba-e29e-44a7-9bdf-49b471a10b30,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
bb720517-f56f-43c3-9489-f51d1c86c96b,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
3803af61-902d-4639-8b43-48a41fd18366,28e66e25-251d-4abf-ae49-d4578c165447
5185b435-4a01-4ce2-a5c4-7046911c1e52,28e66e25-251d-4abf-ae49-d4578c165447
4a47ee45-8c8e-492f-8ebc-7bf4e479051d,7ba4f060-e7bc-4aa3-8574-e167b4c8712e
f9af188a-75d0-41bc-b82a-dcdf2cc28c4d,28e66e25-251d-4abf-ae49-d4578c165447
56862bd6-6b08-41e9-840b-4775de59db65,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
fb1ef338-4379-44d4-bba8-fc09a6057715,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
98d35470-1a01-494e-96eb-e7ac7d3662be,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
4ec0e419-3c99-42b5-bbc4-ee47fb2510aa,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
5c364a0e-aa26-4609-b7e0-f73e86441b6c,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
e7c3e496-8557-4f7f-9ba7-a71c8949c1cc,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
51c975ed-6978-473e-a6f0-fc529b5401b9,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
0defb533-1532-4922-b543-08c8e34a5934,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
bdb9343d-dd31-4311-b8c4-212d619f8091,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
283352dd-d3da-4f0a-b459-36ef5e8b9432,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
552dc91a-20e8-4600-ad91-16dac9c3c96d,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
8d95d6f3-a8f0-42e3-94eb-2bd38a79076a,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
f07626d8-cbda-4c1a-9841-cf6d9aab8ce2,fbb56ea2-0f3d-4fcb-b84e-51c00ff86cdc
812f2052-ced6-437d-84ab-c844065d50c4,28e66e25-251d-4abf-ae49-d4578c165447
